nameseq,fickett_score-ORF,fickett_score-full-sequence
1_105514485_105528285,0.4379999999999999,0.3293899999999999
1_10552827_10553185,1.1053,0.39857
1_105528525_105528729,0.8969000000000001,0.3896699999999999
1_10553291_10553700,1.1004,0.41923
1_105534219_105534751,0.5006999999999999,0.33511
1_105534219_105535363,0.4909,0.3759099999999999
1_105535489_105536936,0.7181,0.43781
1_105537002_105539129,0.7726999999999999,0.45461
1_105539132_105539936,1.0327,0.43858
1_105539374_105539937,0.8767,0.4164
1_10553978_10555705,0.5411999999999999,0.35426
1_105540615_105542339,0.4603,0.3421999999999999
1_105543918_105544345,0.5384,0.35458
1_105545197_105545750,0.8517000000000001,0.46053
1_105546589_105546897,0.664,0.39671
1_105547059_105547209,0.6801999999999999,0.37433
1_105547386_105547630,1.0188,0.35632
1_105547724_105547945,1.1405,0.46521
1_105547725_105547940,1.0773,0.47491
1_105548459_105548689,0.6388,0.35412
1_105548783_105549094,0.8339000000000001,0.38276
1_105549392_105549470,0.6805,0.37765
1_105549475_105549956,0.5951,0.38509
1_105551371_105551496,1.0856,0.4490599999999999
1_105551375_105551511,1.0691,0.46431
1_105551595_105551827,0.6556000000000002,0.42815
1_105551952_105552024,0.9098,0.37887
1_105555021_105555197,0.4821999999999999,0.3231199999999999
1_105555614_105581897,0.3761,0.29956
1_10555957_10557962,0.5770000000000001,0.29448
1_10556354_10561973,0.5375000000000001,0.31795
1_105577837_105578012,0.9096,0.40709
1_105581899_105584426,0.4477,0.35726
1_105584463_105588245,0.538,0.42977
1_105588258_105588490,0.9797,0.4608899999999999
1_105588498_105588573,0.8474,0.36492
1_105588608_105588764,1.0079,0.46662
1_105589400_105590044,0.5381,0.4477
1_105590049_105607571,0.4019,0.28771
1_105615818_105644457,0.417,0.30344
1_10561826_10562335,0.9128,0.31521
1_10562402_10562523,1.2946000000000002,0.41009
1_10562713_10563110,1.0069,0.41241
1_105628995_105629039,0.8764000000000001,0.44376
1_105629323_105637408,0.5015000000000001,0.3831199999999999
1_10562950_10563004,1.0395,0.4274799999999999
1_10563327_10563527,1.3124,0.40913
1_105637946_105643946,0.4781999999999999,0.37822
1_10564455_10564567,0.88,0.39817
1_105644776_105644821,1.0258,0.41775
1_105644834_105645875,0.5960000000000001,0.34084
1_10564574_10564963,1.2762,0.37064
1_105647545_105670371,0.4505999999999999,0.29801
1_105648341_105652649,0.4107999999999999,0.28091
1_10564996_10565403,1.1826,0.36878
1_105652651_105659704,0.4986,0.2972
1_105664014_105664064,1.0409,0.4335299999999999
1_105664688_105664748,1.248,0.4263699999999999
1_105664914_105666335,0.9065,0.48904
1_105666340_105670371,0.7111000000000001,0.42416
1_105670374_105672118,0.4469999999999999,0.31099
1_105670374_105673549,0.6046,0.45099
1_105673551_105677971,0.7196,0.45165
1_10567536_10567640,0.8152,0.32997
1_105677999_105681800,0.4355,0.32575
1_10568059_10568356,0.7499,0.4477899999999999
1_105681683_105688774,0.7257,0.4723299999999999
1_10568365_10568938,0.4797,0.38364
1_105688697_105689309,0.5122,0.41215
1_10569319_10570004,1.1729,0.47557
1_105696353_105696719,0.7305,0.43805
1_105696772_105701541,0.4179,0.37178
1_105697918_105698335,0.4657,0.374
1_105699201_105699351,1.0401,0.46917
1_105699618_105699774,1.0194,0.45493
1_105700093_105700223,0.7949000000000002,0.39492
1_10570034_10570538,1.2658,0.44215
1_105702492_105702636,1.0055,0.4216299999999999
1_105702875_105702907,0.9484,0.4203599999999999
1_105703382_105703541,0.8975,0.46355
1_105703545_105704926,0.6502999999999999,0.36739
1_105705208_105705332,0.5572,0.41549
1_105705451_105706403,0.5959000000000001,0.38895
1_105706406_105708507,0.6656000000000001,0.34303
1_105706432_105706591,0.4452,0.37139
1_105708531_105708618,0.9630000000000002,0.37059
1_105709105_105714099,0.5099,0.30464
1_105718963_105733301,0.478,0.27599
1_10573111_10573201,1.2349,0.4318
1_105734737_105737912,0.3901,0.37077
1_10573547_10575285,0.5484,0.39647
1_105737951_105751641,0.3954,0.33438
1_105751642_105777777,0.3706,0.28518
1_1057533_1057800,0.5746,0.36871
1_105760_107832,0.799,0.43654
1_105761097_105766198,0.4163,0.32659
1_10576778_10576817,0.7354000000000002,0.32809
1_105769140_105771197,0.4316,0.3432
1_10577101_10577263,0.746,0.31542
1_10577509_10577582,1.0105000000000002,0.37406
1_10577663_10578337,0.5657,0.3698
1_10577663_10591205,0.4851,0.36433
1_105777852_105778582,0.637,0.39809
1_105778651_105784513,0.4465,0.29435
1_105779454_105780243,0.4872,0.39892
1_105780810_105781200,0.688,0.41212
1_105781487_105781968,0.4824,0.27816
1_1057828_1058124,1.0168,0.416
1_105785652_105788322,0.4475,0.3705
1_105791173_105791291,0.8694999999999999,0.43504
1_105791537_105791689,1.2071,0.42962
1_105791792_105791894,1.0642,0.42238
1_105792548_105798147,0.3619999999999999,0.33061
1_105798149_105806932,0.3813,0.2908799999999999
1_105801214_105820935,0.4477,0.35299
1_105807004_105807714,0.7564,0.3921699999999999
1_105812766_105823682,0.4342,0.34975
1_105821523_105846468,0.4734,0.33959
1_105846473_105855469,0.6935,0.41316
1_105846807_105858308,0.5933999999999999,0.38606
1_105859701_105862232,0.4199,0.3590099999999999
1_105861517_105862232,0.4378999999999999,0.34078
1_105862480_105862808,1.1949,0.42784
1_105864033_105864369,1.1607,0.4556899999999999
1_105864426_105864603,1.19,0.41995
1_105864629_105865000,0.9706,0.45902
1_105864631_105865003,0.9706,0.45902
1_105865295_105865415,1.1771,0.45753
1_105865914_105866107,0.8553000000000001,0.45747
1_105865915_105866109,0.8492999999999999,0.4638899999999999
1_105868055_105868175,0.6562,0.4606699999999999
1_105868201_105868684,0.5267,0.35272
1_105869024_105869382,0.6832,0.4083299999999999
1_1058690_1059190,0.8931,0.48044
1_105869722_105870561,0.4326,0.35776
1_105870638_105870728,1.0434,0.40588
1_105871153_105871371,0.5707,0.40508
1_105871547_105894625,0.4552,0.32054
1_105873691_105873828,0.6493,0.40101
1_105883369_105883489,1.3046,0.43618
1_105894647_105895036,1.205,0.42313
1_105895088_105914897,0.4786,0.27911
1_105897677_105897806,1.0696,0.4523
1_105898965_105913750,0.4786,0.30297
1_105913837_105925001,0.472,0.27133
1_10591484_10601716,0.4105999999999999,0.32858
1_105915069_105915291,0.5422999999999999,0.3826
1_10591516_10614010,0.4634,0.3133
1_105917289_105921437,0.4631,0.3491599999999999
1_1059202_1065057,0.3887,0.29475
1_105923578_105925001,0.6389,0.36444
1_105925003_105935101,0.3903999999999999,0.28419
1_105934505_105935080,0.946,0.44388
1_105935905_105935988,0.8488000000000001,0.3525
1_105936130_105936276,0.8038000000000001,0.31431
1_105936800_105936987,0.9147,0.36666
1_105937079_105938782,0.585,0.39479
1_105937083_105939000,0.5366,0.3954499999999999
1_105939927_105939964,1.1052,0.3987199999999999
1_105940712_105943847,0.355,0.30159
1_105949833_105950355,1.0587,0.46414
1_105950758_105970313,0.4465,0.34615
1_105950774_105952130,0.5148999999999999,0.40895
1_105958780_105963971,0.5276,0.37514
1_105965437_105965551,0.9894,0.29232
1_105966129_105966419,1.0714,0.44741
1_105967191_105967324,0.8542000000000001,0.4515
1_105967900_105970196,0.9219,0.48582
1_105970587_105971661,0.7153,0.44798
1_105972873_105972967,1.1135000000000002,0.4059399999999999
1_105974403_105974479,0.7717,0.398
1_105975502_105981637,0.4955,0.33202
1_105979876_105981630,0.6843000000000001,0.3601799999999999
1_105981689_105981833,1.2532,0.44293
1_105981692_105981833,1.2322,0.4252599999999999
1_105982111_105982195,1.0548,0.42458
1_105983553_105985150,0.8974,0.47285
1_105986075_105993196,0.4442,0.33266
1_105993743_105993812,0.8392000000000001,0.33936
1_105995358_105995937,1.0958,0.4527199999999999
1_105995950_106012188,0.4517,0.31437
1_106006141_106006451,0.8732000000000001,0.48126
1_106010492_106014285,0.3773,0.3295
1_106012195_106012724,0.6281000000000001,0.40145
1_106014704_106014919,1.2634,0.37453
1_106014715_106014914,1.2634,0.37453
1_106017093_106017164,0.8876,0.32359
1_106018401_106018682,0.6720999999999999,0.32625
1_106019620_106040177,0.3703999999999999,0.29367
1_106040602_106050113,0.4134,0.35517
1_106047842_106048799,0.6188999999999999,0.35082
1_106050166_106068369,0.4671,0.34759
1_106053764_106056686,0.7392000000000001,0.46429
1_106065908_106067160,0.8666,0.4406299999999999
1_106067167_106067707,0.3812,0.30188
1_106068401_106069169,0.5639,0.34297
1_106070670_106071653,0.6860999999999999,0.4900899999999999
1_106071830_106072288,0.73,0.42735
1_106073031_106073829,0.8523000000000001,0.47044
1_106073871_106081584,0.4229,0.28496
1_106073871_106081884,0.4229,0.28496
1_106081615_106081887,0.9253,0.43843
1_106082124_106082751,0.5763999999999999,0.42145
1_106082776_106082826,0.8149,0.38723
1_106083576_106083912,1.1483,0.4458799999999999
1_106084551_106084972,0.9708,0.4054899999999999
1_106085473_106102070,0.3703999999999999,0.34547
1_106094016_106094624,0.9568,0.4704899999999999
1_106102538_106112174,0.3916,0.31518
1_106103149_106106317,0.4624,0.29435
1_106112229_106112306,1.0436,0.4034
1_106112391_106113164,0.5026999999999999,0.31222
1_106113799_106114627,0.6232,0.41584
1_106115022_106117273,0.5310999999999999,0.37722
1_106118005_106118072,1.1958000000000002,0.47298
1_106124386_106141801,0.7031000000000001,0.41504
1_106129114_106131858,1.2007,0.43648
1_106132860_106141854,0.5450999999999999,0.36637
1_10614178_10614343,0.7198,0.43212
1_106141803_106177238,0.3967,0.34819
1_106142889_106166097,0.4019,0.33951
1_106173426_106174064,0.3566,0.32277
1_106175168_106176152,0.4650999999999999,0.3228
1_106177241_106177558,0.6446,0.3998799999999999
1_106178164_106179306,0.4676,0.37494
1_106185426_106185868,0.4618,0.32054
1_106187029_106187090,0.6454000000000001,0.37648
1_106187350_106187439,0.7124,0.36672
1_106187351_106187437,0.5784,0.37163
1_10618777_10618934,0.8306,0.40484
1_106187899_106189193,0.473,0.3821699999999999
1_106190063_106190251,0.6052,0.34882
1_106190518_106191249,0.5741,0.34049
1_106191561_106192316,0.5551999999999999,0.41752
1_106192543_106193313,0.4267,0.38593
1_10619368_10619625,1.2216,0.4047
1_106195219_106195682,0.6037,0.39879
1_10619531_10619625,1.2272,0.39425
1_106197168_106198919,0.5762,0.37578
1_106198922_106200951,0.8729,0.45796
1_10620940_10621146,0.5023,0.3499
1_106221308_106221972,0.7379,0.39814
1_106221976_106222307,0.9963,0.49204
1_106222426_106222939,0.5721,0.39913
1_106222965_106223049,1.2745,0.46018
1_106223442_106239767,0.4878999999999999,0.31325
1_106228932_106235063,0.4469999999999999,0.31123
1_106235726_106239138,0.8619,0.48112
1_10623896_10624287,0.9895,0.46944
1_106239781_106241127,0.4588,0.34912
1_106239781_106264065,0.4387999999999999,0.28496
1_10623982_10624125,1.105,0.4697999999999999
1_10624137_10624207,0.5862999999999999,0.37156
1_106243178_106254417,0.3983,0.3426
1_10624949_10625441,0.5762,0.4001
1_10625356_10625441,0.8210000000000001,0.40962
1_106255799_106256685,0.3994,0.33142
1_106257414_106263371,0.5236999999999999,0.3590799999999999
1_106264029_106301262,0.5192,0.31506
1_106264469_106271574,1.0821,0.44485
1_10627807_10640247,0.3718,0.29607
1_10627807_10640248,0.3718,0.29607
1_106278187_106307502,0.3827,0.31793
1_106308126_106309122,0.435,0.32795
1_106309315_106310664,0.3692,0.28883
1_106310169_106314190,0.3887,0.31165
1_106310858_106314190,0.3761,0.32826
1_106314202_106317161,0.3815999999999999,0.35331
1_106314204_106330648,0.3951,0.30981
1_106324556_106324814,0.6712999999999999,0.4345
1_106324816_106327808,0.4643,0.32646
1_106327972_106360242,0.4508,0.30121
1_106330651_106332429,0.6991,0.43723
1_106338257_106341168,0.6468,0.42964
1_106341188_106354813,0.4367,0.34391
1_106354914_106360242,0.5446,0.36857
1_106360251_106372462,0.4529000000000001,0.33748
1_106365811_106366123,1.0832000000000002,0.46992
1_106367100_106368498,0.4645,0.32519
1_106371811_106371975,0.6476999999999999,0.38575
1_106372477_106374484,0.7032,0.41823
1_106372494_106374521,0.7032,0.41823
1_106374503_106374984,0.5406,0.3764499999999999
1_106375401_106375603,0.5247999999999999,0.29908
1_106375660_106375760,0.9994,0.40062
1_106375764_106375903,0.961,0.4452399999999999
1_106375767_106375903,0.9064,0.42673
1_106376653_106376728,1.0872,0.4045399999999999
1_106386560_106387145,0.9522,0.45444
1_106387137_106420375,0.4229,0.28496
1_106388553_106402319,0.4303,0.32959
1_106403290_106403379,1.1763,0.44342
1_10640474_10650977,0.5045999999999999,0.3648
1_10640474_10672365,0.45,0.30612
1_106413167_106413256,0.3194,0.22328
1_106429010_106429669,0.8727,0.38058
1_106429691_106458081,0.48,0.28207
1_106443345_106452072,0.5905,0.38659
1_106462615_106467114,0.407,0.3197
1_106467361_106471867,0.4586,0.28068
1_106468714_106483249,0.4931,0.27587
1_106483132_106483258,1.0341,0.386
1_106483259_106485869,0.7164000000000001,0.40819
1_106484786_106485417,1.0719,0.42409
1_106486258_106490220,0.8877,0.42476
1_106490222_106491144,1.0691,0.40017
1_106490222_106499388,0.5198,0.34445
1_106499421_106499649,1.0208,0.42645
1_106499901_106505707,0.7486999999999999,0.40957
1_106503504_106513284,0.5001,0.37934
1_106513286_106520468,0.4964999999999999,0.36958
1_106521030_106530180,0.5902999999999999,0.37328
1_106523411_106525260,0.9956,0.34784
1_106526305_106530085,0.988,0.48286
1_106530425_106539972,0.3825,0.32237
1_106530426_106539360,0.4009,0.3447099999999999
1_106539999_106542375,0.4936999999999999,0.29283
1_10654210_10672790,0.4655999999999999,0.32238
1_106542376_106546656,0.4772,0.3673599999999999
1_106546657_106548649,0.617,0.41783
1_106548647_106549598,0.8222000000000002,0.44247
1_106548728_106550786,0.4814,0.34017
1_106549629_106550786,0.5947,0.35091
1_106550788_106551976,0.7897000000000001,0.34786
1_106554203_106554647,0.5303,0.3329
1_106554677_106555286,0.6354,0.31936
1_106555293_106585127,0.4581999999999999,0.27689
1_1065644_1065697,0.9407,0.35033
1_106565682_106584787,0.4665,0.27883
1_106585099_106592632,0.3731,0.3371
1_106585435_106604888,0.5388,0.34984
1_106602391_106604871,1.2594,0.44713
1_106606138_106618224,0.4665,0.27883
1_106618770_106618853,0.607,0.3358299999999999
1_106618934_106663234,0.4786,0.27911
1_106643344_106646315,0.4155999999999999,0.3018
1_106646616_106646848,0.6535,0.42416
1_106663235_106701160,0.4229,0.30806
1_106663879_106690560,0.4797,0.28567
1_1066708_1066828,0.885,0.42113
1_1066717_1066881,1.0062,0.44277
1_106692522_106693019,0.4881,0.35625
1_106693104_106693174,1.0732,0.4436099999999999
1_106693352_106697018,0.7852,0.38925
1_106697218_106701221,0.4907,0.4233599999999999
1_106701752_106706703,0.4553,0.36393
1_106703211_106722916,0.3827,0.28923
1_106714481_106723527,0.3839,0.32477
1_106723170_106732479,0.4798,0.3795
1_106724189_106726532,0.4407999999999999,0.29251
1_106726540_106730873,0.5239,0.34824
1_10672783_10678509,0.4224,0.33679
1_106731581_106735766,0.6691,0.4148599999999999
1_106736219_106739581,0.3619,0.29033
1_106740148_106746348,0.417,0.30344
1_106746915_106753113,0.7474000000000001,0.43489
1_106753905_106767868,0.4007,0.3346699999999999
1_106775222_106779939,0.4133,0.32735
1_106782068_106804396,0.4786,0.27911
1_106806828_106806967,1.2376,0.42505
1_106807832_106819355,0.3965,0.30816
1_106809156_106811168,0.4019,0.33546
1_106817427_106817477,0.9869,0.40832
1_106818086_106823552,0.4508999999999999,0.28496
1_10682271_10682354,1.2329,0.3941
1_106822877_106822921,1.0757,0.44093
1_106823553_106824139,0.9756,0.40685
1_106824731_106829375,0.3953,0.30132
1_106829576_106838297,0.3813,0.28683
1_106830720_106836758,0.4095999999999999,0.27938
1_106836825_106836911,0.5281,0.31887
1_106838327_106839444,0.3394,0.33447
1_106839434_106839698,0.6385000000000001,0.40364
1_106844735_106860503,0.5112,0.30432
1_106853226_106875456,0.4931,0.27587
1_106864906_106865157,1.1391,0.4343499999999999
1_106868316_106876080,0.3772999999999999,0.31172
1_106876085_106877123,0.4163,0.31268
1_106877122_106887889,0.3964,0.32971
1_10688757_10689076,0.8272000000000002,0.38083
1_106887587_106887878,0.7467999999999999,0.391
1_106888148_106888194,0.9035,0.32701
1_106889097_106889206,0.9726,0.44677
1_106889225_106889310,0.7278,0.43564
1_106889601_106889711,0.8062,0.42972
1_106890140_106890357,0.6833,0.44749
1_106890837_106894862,0.3753999999999999,0.32741
1_106890839_106894862,0.3753999999999999,0.32741
1_10689145_10689299,1.0442,0.4377099999999999
1_106894873_106895203,0.8716,0.45177
1_106895213_106910239,0.4019,0.30676
1_106895213_106910776,0.4019,0.30676
1_10690297_10690490,0.5822,0.3796899999999999
1_10690482_10708484,0.3939,0.29892
1_106910895_106927338,0.5971,0.3944299999999999
1_106913328_106930717,0.5710999999999999,0.4021599999999999
1_106930781_106931853,0.683,0.36026
1_106930812_106944773,0.3827,0.28518
1_106933125_106935334,0.349,0.33318
1_106936572_106966533,0.4095999999999999,0.28267
1_106952577_106976376,0.4989,0.31285
1_10695530_10705998,0.3692,0.28035
1_106971400_106972051,0.9569,0.4544299999999999
1_106973518_106974730,1.0236,0.45838
1_106974869_106974932,0.8332000000000002,0.44724
1_106976217_106983081,0.5447,0.36402
1_106983106_106984037,0.4727999999999999,0.3625899999999999
1_106983106_106985666,0.418,0.33161
1_106984326_106989432,0.3666,0.30475
1_106985714_107007712,0.4989,0.33595
1_107001249_107001269,0.8266999999999999,0.29572
1_107007725_107011005,0.3941,0.33535
1_107007725_107011578,0.3941,0.33535
1_107011615_107026864,0.4735999999999999,0.28033
1_107011617_107027577,0.4735999999999999,0.28033
1_107027799_107032440,0.9793,0.39992
1_107031876_107032440,0.4704,0.24047
1_107033278_107037902,0.5247999999999999,0.3829599999999999
1_107041407_107041590,0.4106999999999999,0.2920899999999999
1_107042188_107042837,0.473,0.3669099999999999
1_107044010_107051265,0.3777999999999999,0.31849
1_107044010_107051268,0.3777999999999999,0.31849
1_107051268_107051807,0.4129,0.3471499999999999
1_107051627_107051841,0.6244,0.40046
1_107051852_107051963,0.6905,0.36075
1_107051852_107052006,0.6396,0.3991599999999999
1_107052037_107052481,0.4421,0.3281199999999999
1_107052610_107052779,0.4554,0.30835
1_107052612_107052995,0.5774000000000001,0.37162
1_107053333_107053930,0.3481999999999999,0.31527
1_107054360_107054530,1.0276,0.4368399999999999
1_107056525_107056840,0.4797999999999999,0.3914099999999999
1_107057329_107073461,0.389,0.28584
1_107060288_107060390,1.3181,0.3905
1_107064042_107073463,0.4318999999999999,0.29754
1_107073473_107074107,0.9595,0.46316
1_107074098_107083109,0.4145,0.3516
1_107074708_107082135,0.4075,0.36153
1_10707753_10707921,1.0013,0.44785
1_10707934_10715070,0.4788,0.30197
1_107082624_107096556,0.3813,0.2908799999999999
1_107085604_107087036,0.4244,0.32991
1_107087194_107087390,1.0748,0.38859
1_107087404_107087761,0.9823,0.4007799999999999
1_107087973_107088339,0.6527999999999999,0.33973
1_107094951_107095232,0.6602999999999999,0.45497
1_107095303_107095580,0.7108000000000001,0.3836799999999999
1_107097814_107102381,0.651,0.35421
1_107099293_107099415,1.1037,0.4698299999999999
1_107101935_107103215,0.3865,0.28238
1_1071049_1071086,1.224,0.37327
1_1071049_1071094,1.251,0.40842
1_107105640_107105851,0.9007000000000001,0.3584
1_107107622_107108294,0.6984999999999999,0.3346
1_107107625_107114981,0.4720999999999999,0.2924199999999999
1_107114368_107114982,0.5706,0.40861
1_107115868_107133048,0.4608,0.26627
1_107116753_107117941,0.6097,0.32784
1_1071177_1072997,0.4132,0.33168
1_107123614_107146460,0.4906,0.31516
1_107135868_107137688,0.5723,0.39257
1_107137763_107146724,0.6208,0.41625
1_107146724_107165609,0.3706,0.28923
1_107150850_107164656,0.3916,0.28648
1_10715171_10721170,0.6213,0.3968899999999999
1_10715171_10723654,0.5194,0.35709
1_107165613_107177909,0.4355,0.34885
1_107171694_107175301,0.3706,0.31388
1_107179733_107179934,0.6881,0.40625
1_107180038_107180121,1.1883,0.44353
1_107185390_107189304,0.3832,0.29727
1_107189308_107189370,0.9965,0.41572
1_107189671_107189800,0.773,0.45853
1_107190091_107190358,0.9756,0.43491
1_107191513_107204321,0.4186999999999999,0.34812
1_107196323_107200742,0.5409999999999999,0.44056
1_107201486_107201562,0.5497,0.3685699999999999
1_107205531_107209255,0.418,0.32625
1_107209536_107210684,0.7812,0.3861
1_107212389_107221216,0.5424,0.34547
1_107213796_107213920,1.0618,0.39947
1_107219827_107219879,0.8088,0.30992
1_107219925_107220202,0.5121,0.36505
1_107221217_107221905,0.6868,0.40597
1_107222508_107230398,0.4643,0.34956
1_10722924_10723092,0.9027,0.40063
1_107230701_107233666,0.4358999999999999,0.32979
1_10723105_10743715,0.4709,0.31285
1_107232571_107232744,0.9022,0.3612599999999999
1_107233112_107233276,0.5463,0.38855
1_107234597_107235041,0.4664,0.33902
1_107235637_107235936,1.2952,0.45579
1_107235943_107240468,0.5192,0.36249
1_107240089_107240468,0.4558,0.34255
1_107240609_107253119,0.4163,0.27839
1_107241923_107252969,0.4163,0.27839
1_107253195_107253863,0.5256000000000001,0.3718
1_107253869_107254013,0.7167000000000001,0.3713599999999999
1_107254743_107255266,0.6593,0.4406799999999999
1_107255456_107256141,0.4928,0.37776
1_107256376_107256625,0.3698,0.2437399999999999
1_107256381_107256624,0.3698,0.2437399999999999
1_107260259_107268377,0.4458,0.35595
1_107268996_107269119,0.5596,0.38084
1_107269122_107271140,0.4994,0.32957
1_107270971_107273437,0.4936,0.30602
1_107271637_107277718,0.4316,0.27241
1_107274355_107274462,0.6892999999999999,0.30202
1_107274505_107274681,0.4108,0.3046299999999999
1_107277721_107294292,0.3953,0.33002
1_10729446_10744986,0.4517,0.31437
1_107294500_107320086,0.3825,0.29772
1_107294741_107294976,0.6873,0.31155
1_107296340_107297858,0.5527999999999998,0.40728
1_107297967_107307489,0.389,0.28584
1_107307594_107310632,0.4265,0.38211
1_107320138_107329292,0.4914,0.30453
1_107326693_107330178,0.4355,0.32015
1_107332449_107332538,0.8891,0.42643
1_107334380_107334536,0.6893,0.39537
1_107334417_107334536,0.8243,0.35053
1_107335023_107335187,1.2593,0.3937299999999999
1_107336045_107336116,1.1151,0.4489
1_107336135_107336268,0.73,0.34252
1_107336528_107336685,0.8187,0.41107
1_107340073_107340147,0.6304000000000001,0.33241
1_107340810_107341385,1.1307,0.42206
1_107341795_107344370,0.3939,0.33276
1_107341905_107344370,0.4781999999999999,0.34581
1_107344518_107345022,0.7644,0.43503
1_107345041_107345746,0.7543,0.3934299999999999
1_107346085_107350661,0.5121,0.35556
1_107346538_107350618,0.5229999999999999,0.34973
1_107351113_107352336,0.7267000000000001,0.4227499999999999
1_107351113_107371827,0.5144,0.29162
1_107352448_107385019,0.506,0.2899
1_107372319_107384183,0.4595999999999999,0.29624
1_1073806_1074805,0.4549,0.35956
1_1073809_1081497,0.3555,0.27818
1_107385026_107389688,0.3898999999999999,0.35972
1_107390306_107393687,0.4317999999999999,0.38827
1_107394155_107395121,0.5427,0.37706
1_107398272_107425462,0.3832,0.29727
1_107398869_107431723,0.3916,0.28648
1_107426345_107434705,0.4921,0.32383
1_107433692_107434304,0.7617,0.37093
1_107436133_107436336,0.8751,0.42758
1_107436358_107450625,0.4844,0.33049
1_10744988_10749285,0.5054,0.3892
1_107450015_107450731,0.4061999999999999,0.3115
1_107450771_107451829,0.4457,0.31674
1_107451875_107454840,0.5193,0.28952
1_107455271_107456262,0.6603,0.43863
1_107457447_107459621,0.6636,0.40358
1_107459711_107459937,0.5051,0.3561299999999999
1_107461478_107461537,1.158,0.43442
1_107464851_107468374,0.5886,0.38652
1_107468505_107469988,0.6303000000000001,0.33692
1_107470278_107485282,0.567,0.39461
1_107470378_107484573,0.6033,0.40847
1_1074807_1081606,0.3555,0.30688
1_107484689_107485281,0.5633,0.44126
1_107485468_107486247,0.5039,0.4049399999999999
1_107485680_107501260,0.4224,0.30809
1_10748568_10749284,1.1624,0.47555
1_10749286_10749892,0.9648,0.4258699999999999
1_107494066_107502627,0.4588,0.32962
1_107501269_107526942,0.3827,0.28923
1_107502863_107527564,0.3827,0.28923
1_10750525_10750884,0.9845,0.42083
1_10750888_10750943,0.8003,0.44454
1_10751660_10751854,0.6693,0.37426
1_107529285_107531425,1.0246,0.45273
1_107531434_107531947,0.8275,0.4208699999999999
1_107532460_107533245,0.4209,0.32502
1_107533260_107534577,0.6652,0.3769999999999999
1_107534761_107535405,0.5301,0.34711
1_107535691_107535876,0.3853999999999999,0.31563
1_107535897_107540447,0.441,0.34477
1_107540528_107540727,0.8003,0.43915
1_107544627_107549293,0.3759,0.28467
1_107548979_107549293,0.4626,0.35085
1_10754902_10755204,0.5268,0.34739
1_107550117_107551045,0.3324,0.2633
1_107551061_107561108,0.5625,0.37471
1_107551675_107562389,0.5314,0.35217
1_107562396_107568353,0.6305000000000001,0.3609
1_107568895_107568971,0.465,0.3384399999999999
1_107569917_107570190,0.9544,0.32989
1_107570091_107576745,0.4788,0.32507
1_107570559_107597209,0.4455999999999999,0.27957
1_10757716_10757771,1.2132,0.4011699999999999
1_107577635_107615208,0.4986,0.26837
1_10758546_10758606,0.973,0.40571
1_10758781_10758907,0.5598,0.34925
1_107597881_107604104,0.4556,0.32675
1_10759857_10760084,0.7226,0.27408
1_107612851_107630540,0.506,0.3417
1_107615419_107638191,0.4706,0.26837
1_10761671_10761794,0.5192,0.31207
1_10761978_10762131,0.891,0.36436
1_10762518_10762573,0.8412999999999999,0.44393
1_107632237_107634752,0.4814,0.25515
1_107638660_107641577,0.8834000000000001,0.50251
1_107641047_107641204,1.0473,0.45472
1_107642058_107649350,0.4266999999999999,0.29376
1_107642075_107649358,0.4266999999999999,0.29376
1_10764831_10765072,0.916,0.42114
1_107649666_107649847,0.9763,0.4473600000000001
1_107650001_107650300,0.589,0.36698
1_107650442_107654626,0.7154,0.39282
1_10765076_10767647,1.1167,0.47646
1_107654674_107654846,0.8068,0.31178
1_107655806_107671116,0.4221999999999999,0.31786
1_107657208_107657438,1.0209,0.3725
1_107657614_107666258,0.3953,0.32442
1_10766403_10768055,0.6972,0.39455
1_107668216_107670840,0.4366999999999999,0.31193
1_107671339_107671662,1.026,0.46464
1_107671705_107672496,1.1017,0.46435
1_107671808_107672498,1.1700000000000002,0.47618
1_107672522_107675538,0.8349000000000001,0.47964
1_107674425_107675490,1.012,0.44064
1_107679370_107679553,0.484,0.28608
1_107679869_107680884,0.3611,0.2964299999999999
1_107681909_107682094,0.4865,0.32857
1_10768468_10799732,0.4229,0.28496
1_107686378_107687666,0.8316,0.41045
1_107686394_107696115,0.4594,0.28063
1_107694953_107696115,0.8071999999999999,0.46454
1_107696140_107696291,0.7347,0.3268999999999999
1_107696343_107696714,1.0468000000000002,0.4089699999999999
1_107696986_107702429,0.4498999999999999,0.3638
1_107699394_107709044,0.3993,0.3307199999999999
1_107706109_107707450,0.6539999999999999,0.3667
1_107709047_107713301,0.4107999999999999,0.30961
1_107713678_107722311,0.5005,0.31974
1_107716598_107720033,0.6016999999999999,0.38896
1_107720498_107720851,0.7631,0.44488
1_107722315_107729399,0.4060999999999999,0.3631799999999999
1_107722843_107723566,0.9004,0.4336
1_107723603_107723834,0.8835000000000001,0.39982
1_107724065_107730475,0.4073,0.34692
1_107730477_107732752,0.4231,0.31135
1_107733547_107735352,0.4627999999999999,0.35065
1_107733547_107759126,0.3827,0.28923
1_107737682_107751019,0.3775,0.29791
1_107755317_107759160,0.4019,0.3123599999999999
1_107759169_107761441,0.4415,0.36019
1_107761467_107762024,0.8472,0.34201
1_107762204_107762325,0.8059,0.33521
1_107762601_107762763,0.3268,0.24405
